District code,District name,State name,Population,Male,Female,Literate,Households_with_Internet,Housholds_with_Electric_Lighting,Latitude,Longitude,Sex Ratio,Literacy Rate
555,Belgaum,KARNATAKA,4779661,2423063,2356598,3052032,17560,808827,16.16107219152853,74.72329042357275,972.5698423854435,63.85457043920061
565,Bellary,KARNATAKA,2452595,1236954,1215641,1421621,9626,440374,15.074377548209377,76.47228471074374,982.7697715517311,57.96395246667305
558,Bidar,KARNATAKA,1703300,870665,832635,1042673,3971,271439,17.950361730769224,77.19459961538459,956.320743339861,61.21487700346386
417,Bijapur,CHHATTISGARH,255230,128663,126567,86919,117,12516,16.84015316666667,75.95909166666665,983.7093803191283,34.05516592877013
557,Bijapur,KARNATAKA,2177331,1111022,1066309,1248268,4987,326594,16.84015316666667,75.95909166666665,959.755072356803,57.330190035414915
570,Chikmagalur,KARNATAKA,1137961,566622,571339,818345,4510,238505,13.425288289676422,75.67626502311249,1008.324773835114,71.91327295047897
566,Chitradurga,KARNATAKA,1659456,840843,818613,1087392,5711,307257,14.29102220394736,76.57821957236843,973.5622464598029,65.52701608237881
567,Davanagere,KARNATAKA,1945497,986400,959097,1308540,7320,372671,14.330414586709884,75.91723841166937,972.3205596107056,67.25993409396159
562,Dharwad,KARNATAKA,1847023,937206,909817,1301664,15013,347962,15.343831376975173,75.13831264108359,970.7759019895306,70.47362160622797
561,Gadag,KARNATAKA,1064570,537147,527423,700177,3373,198064,15.507128256880746,75.64861302752298,981.8969481352405,65.77087462543562
579,Gulbarga,KARNATAKA,2566326,1301755,1264571,1427368,9752,404767,17.070459515951594,76.87503850385033,971.435485171941,55.61912243417243
574,Hassan,KARNATAKA,1776421,883667,892754,1225256,4851,400702,12.945098749999998,76.11049549999997,1010.2832854457617,68.9732895524203
